name,material,icon,category,type,rentPerDay,buy,baseStock
Gold Necklace Set,22K Gold Plated,💎,Necklace,both,150,3200,5
Silver Earrings,Pure Silver,✨,Earrings,buy,,1500,10
Diamond Ring,Cubic Zirconia,💍,Ring,rent,200,,3
Pearl Bracelet,Freshwater Pearls,📿,Bracelet,both,100,2500,8
Ruby Pendant,Lab Ruby,❤️,Pendant,buy,,1800,6
Emerald Necklace,Lab Emerald,💚,Necklace,rent,180,,4
Gold Bangles Set,18K Gold Plated,⭐,Bangles,both,120,2800,7
Sapphire Ring,Lab Sapphire,💙,Ring,buy,,2200,5
Kundan Maang Tikka,Kundan Work,👑,Maang Tikka,rent,90,,10
Temple Jewellery Set,Antique Gold,🕉️,Temple Set,both,250,4500,3
